




Analysis Type:	PANTHER Overrepresentation Test (Released 20230705)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.7942786 Released 2023-05-10
Analyzed List:	go-genelist-py-elastic.csv (Homo sapiens)go-genelist-r.csv (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	NONE
GO biological process complete	Homo sapiens - REFLIST (20589)	go-genelist-py-elastic.csv (79)	go-genelist-py-elastic.csv (expected)	go-genelist-py-elastic.csv (over/under)	go-genelist-py-elastic.csv (fold Enrichment)	go-genelist-py-elastic.csv (raw P-value)	go-genelist-r.csv (142)	go-genelist-r.csv (expected)	go-genelist-r.csv (over/under)	go-genelist-r.csv (fold Enrichment)	go-genelist-r.csv (raw P-value)
regulation of neuron projection development (GO:0010975)	450	3	1.73	+	1.74	2.50E-01	7	3.10	+	2.26	3.81E-02
organic substance metabolic process (GO:0071704)	7653	51	29.36	+	1.74	1.00E-06	78	52.78	+	1.48	2.41E-05
negative regulation of cell motility (GO:2000146)	301	2	1.15	+	1.73	3.23E-01	6	2.08	+	2.89	1.93E-02
cellular nitrogen compound metabolic process (GO:0034641)	3347	22	12.84	+	1.71	8.82E-03	32	23.08	+	1.39	5.18E-02
protein metabolic process (GO:0019538)	3813	25	14.63	+	1.71	5.28E-03	34	26.30	+	1.29	1.04E-01
mitochondrion organization (GO:0007005)	458	3	1.76	+	1.71	2.58E-01	7	3.16	+	2.22	4.12E-02
lipid metabolic process (GO:0006629)	1230	8	4.72	+	1.70	1.46E-01	18	8.48	+	2.12	3.67E-03
regulation of developmental process (GO:0050793)	2462	16	9.45	+	1.69	3.49E-02	25	16.98	+	1.47	5.04E-02
regulation of epithelial cell differentiation (GO:0030856)	154	1	.59	+	1.69	4.49E-01	4	1.06	+	3.77	2.35E-02
system development (GO:0048731)	3553	23	13.63	+	1.69	1.03E-02	30	24.50	+	1.22	2.21E-01
metabolic process (GO:0008152)	8086	52	31.03	+	1.68	2.41E-06	85	55.77	+	1.52	1.00E-06
primary metabolic process (GO:0044238)	7165	46	27.49	+	1.67	2.55E-05	72	49.42	+	1.46	1.28E-04
regulation of growth (GO:0040008)	624	4	2.39	+	1.67	3.06E-01	9	4.30	+	2.09	4.24E-02
cell differentiation (GO:0030154)	3590	23	13.77	+	1.67	1.07E-02	31	24.76	+	1.25	1.82E-01
negative regulation of proteolysis (GO:0045861)	314	2	1.20	+	1.66	3.41E-01	6	2.17	+	2.77	2.31E-02
cellular developmental process (GO:0048869)	3614	23	13.87	+	1.66	1.11E-02	31	24.93	+	1.24	1.84E-01
cellular metabolic process (GO:0044237)	5828	37	22.36	+	1.65	6.14E-04	67	40.20	+	1.67	2.21E-06
regulation of response to stress (GO:0080134)	1418	9	5.44	+	1.65	1.18E-01	17	9.78	+	1.74	2.86E-02
regulation of extrinsic apoptotic signaling pathway (GO:2001236)	158	1	.61	+	1.65	4.57E-01	4	1.09	+	3.67	2.54E-02
multicellular organism development (GO:0007275)	3966	25	15.22	+	1.64	9.35E-03	36	27.35	+	1.32	7.00E-02
negative regulation of multicellular organismal process (GO:0051241)	1125	7	4.32	+	1.62	2.06E-01	17	7.76	+	2.19	2.43E-03
nitrogen compound metabolic process (GO:0006807)	6614	41	25.38	+	1.62	3.86E-04	67	45.62	+	1.47	2.02E-04
anatomical structure development (GO:0048856)	5201	32	19.96	+	1.60	3.93E-03	47	35.87	+	1.31	4.14E-02
regulation of response to wounding (GO:1903034)	163	1	.63	+	1.60	4.68E-01	6	1.12	+	5.34	1.10E-03
fatty acid metabolic process (GO:0006631)	327	2	1.25	+	1.59	3.59E-01	6	2.26	+	2.66	2.73E-02
negative regulation of response to stimulus (GO:0048585)	1637	10	6.28	+	1.59	1.40E-01	18	11.29	+	1.59	4.35E-02
cellular response to stimulus (GO:0051716)	6472	39	24.83	+	1.57	9.56E-04	56	44.64	+	1.25	4.59E-02
positive regulation of cellular process (GO:0048522)	5511	33	21.15	+	1.56	4.69E-03	51	38.01	+	1.34	1.73E-02
regulation of biosynthetic process (GO:0009889)	4177	25	16.03	+	1.56	1.67E-02	36	28.81	+	1.25	1.43E-01
regulation of phosphorylation (GO:0042325)	1170	7	4.49	+	1.56	2.19E-01	14	8.07	+	1.73	4.34E-02
cellular response to organic cyclic compound (GO:0071407)	502	3	1.93	+	1.56	4.45E-01	8	3.46	+	2.31	2.44E-02
developmental process (GO:0032502)	5702	34	21.88	+	1.55	3.55E-03	49	39.33	+	1.25	7.42E-02
negative regulation of locomotion (GO:0040013)	338	2	1.30	+	1.54	3.74E-01	6	2.33	+	2.57	3.13E-02
regulation of cellular biosynthetic process (GO:0031326)	4068	24	15.61	+	1.54	2.31E-02	34	28.06	+	1.21	2.06E-01
response to stimulus (GO:0050896)	8243	48	31.63	+	1.52	3.02E-04	74	56.85	+	1.30	4.42E-03
carbohydrate derivative catabolic process (GO:1901136)	174	1	.67	+	1.50	4.90E-01	4	1.20	+	3.33	3.42E-02
regulation of nitrogen compound metabolic process (GO:0051171)	5646	32	21.66	+	1.48	1.15E-02	51	38.94	+	1.31	2.96E-02
regulation of primary metabolic process (GO:0080090)	5825	33	22.35	+	1.48	1.18E-02	52	40.17	+	1.29	3.16E-02
multicellular organismal process (GO:0032501)	6713	38	25.76	+	1.48	5.31E-03	56	46.30	+	1.21	8.82E-02
positive regulation of binding (GO:0051099)	179	1	.69	+	1.46	5.00E-01	6	1.23	+	4.86	1.75E-03
regulation of protein serine/threonine kinase activity (GO:0071900)	359	2	1.38	+	1.45	4.03E-01	7	2.48	+	2.83	1.32E-02
negative regulation of cellular process (GO:0048523)	4705	26	18.05	+	1.44	4.31E-02	44	32.45	+	1.36	2.70E-02
negative regulation of biological process (GO:0048519)	5320	29	20.41	+	1.42	3.84E-02	50	36.69	+	1.36	1.58E-02
cellular lipid metabolic process (GO:0044255)	918	5	3.52	+	1.42	4.04E-01	16	6.33	+	2.53	6.77E-04
macromolecule metabolic process (GO:0043170)	5887	32	22.59	+	1.42	2.43E-02	48	40.60	+	1.18	1.92E-01
cell-substrate adhesion (GO:0031589)	185	1	.71	+	1.41	5.11E-01	4	1.28	+	3.13	4.12E-02
regulation of epithelial cell proliferation (GO:0050678)	372	2	1.43	+	1.40	6.56E-01	9	2.57	+	3.51	1.27E-03
regulation of metabolic process (GO:0019222)	6719	36	25.78	+	1.40	1.63E-02	59	46.34	+	1.27	3.08E-02
positive regulation of protein modification process (GO:0031401)	935	5	3.59	+	1.39	4.10E-01	12	6.45	+	1.86	3.96E-02
positive regulation of biological process (GO:0048518)	6219	33	23.86	+	1.38	3.61E-02	55	42.89	+	1.28	3.45E-02
regulation of carbohydrate metabolic process (GO:0006109)	189	1	.73	+	1.38	5.19E-01	4	1.30	+	3.07	4.39E-02
regulation of protein metabolic process (GO:0051246)	2462	13	9.45	+	1.38	2.23E-01	30	16.98	+	1.77	1.74E-03
negative regulation of cell projection organization (GO:0031345)	191	1	.73	+	1.36	5.22E-01	5	1.32	+	3.80	1.13E-02
cellular lipid catabolic process (GO:0044242)	194	1	.74	+	1.34	5.28E-01	4	1.34	+	2.99	4.75E-02
negative regulation of molecular function (GO:0044092)	975	5	3.74	+	1.34	4.26E-01	12	6.72	+	1.78	4.65E-02
regulation of macromolecule metabolic process (GO:0060255)	6188	31	23.74	+	1.31	8.50E-02	54	42.68	+	1.27	4.33E-02
regulation of protein binding (GO:0043393)	202	1	.78	+	1.29	5.42E-01	7	1.39	+	5.02	6.04E-04
regulation of peptidase activity (GO:0052547)	408	2	1.57	+	1.28	6.71E-01	7	2.81	+	2.49	2.44E-02
regulation of protein kinase activity (GO:0045859)	615	3	2.36	+	1.27	5.12E-01	9	4.24	+	2.12	4.09E-02
regulation of protein modification process (GO:0031399)	1443	7	5.54	+	1.26	5.04E-01	18	9.95	+	1.81	1.32E-02
membrane lipid metabolic process (GO:0006643)	207	1	.79	+	1.26	5.51E-01	6	1.43	+	4.20	3.53E-03
regulation of plasma membrane bounded cell projection organization (GO:0120035)	643	3	2.47	+	1.22	7.39E-01	9	4.43	+	2.03	4.62E-02
regulation of cell projection organization (GO:0031344)	657	3	2.52	+	1.19	7.42E-01	9	4.53	+	1.99	4.95E-02
positive regulation of macromolecule metabolic process (GO:0010604)	3514	16	13.48	+	1.19	4.54E-01	34	24.24	+	1.40	3.37E-02
cellular process (GO:0009987)	14672	65	56.30	+	1.15	3.35E-02	123	101.19	+	1.22	2.26E-05
negative regulation of apoptotic signaling pathway (GO:2001234)	229	1	.88	+	1.14	5.88E-01	5	1.58	+	3.17	2.26E-02
biological_process (GO:0008150)	17812	77	68.34	+	1.13	1.51E-03	135	122.85	+	1.10	1.77E-03
regulation of proteolysis (GO:0030162)	709	3	2.72	+	1.10	7.54E-01	11	4.89	+	2.25	1.73E-02
regulation of molecular function (GO:0065009)	2569	10	9.86	+	1.01	8.66E-01	30	17.72	+	1.69	4.66E-03
protein complex oligomerization (GO:0051259)	257	1	.99	+	1.01	1.00E00	6	1.77	+	3.39	9.61E-03
regulation of catalytic activity (GO:0050790)	1827	7	7.01	-	1.00	1.00E00	20	12.60	+	1.59	3.74E-02
apoptotic process (GO:0006915)	1047	4	4.02	-	1.00	1.00E00	15	7.22	+	2.08	6.79E-03
programmed cell death (GO:0012501)	1093	4	4.19	-	.95	1.00E00	15	7.54	+	1.99	1.27E-02
cell death (GO:0008219)	1105	4	4.24	-	.94	1.00E00	15	7.62	+	1.97	1.33E-02
positive regulation of protein metabolic process (GO:0051247)	1425	5	5.47	-	.91	1.00E00	18	9.83	+	1.83	1.22E-02
regulation of binding (GO:0051098)	371	1	1.42	-	.70	1.00E00	9	2.56	+	3.52	1.25E-03
Unclassified (UNCLASSIFIED)	2777	2	10.66	-	.19	1.51E-03	7	19.15	-	.37	1.77E-03
negative regulation of chronic inflammatory response (GO:0002677)	5	0	.02	-	 < 0.01	1.00E00	1	.03	+	29.00	4.04E-02
negative regulation of dendritic cell antigen processing and presentation (GO:0002605)	4	0	.02	-	 < 0.01	1.00E00	1	.03	+	36.25	3.38E-02
mitochondrial large ribosomal subunit assembly (GO:1902775)	5	0	.02	-	 < 0.01	1.00E00	1	.03	+	29.00	4.04E-02
negative regulation of growth hormone receptor signaling pathway (GO:0060400)	3	0	.01	-	 < 0.01	1.00E00	1	.02	+	48.33	2.71E-02
negative regulation of toll-like receptor 5 signaling pathway (GO:0034148)	1	0	.00	-	 < 0.01	1.00E00	1	.01	+	 > 100	1.37E-02
regulation of toll-like receptor 5 signaling pathway (GO:0034147)	1	0	.00	-	 < 0.01	1.00E00	1	.01	+	 > 100	1.37E-02
negative regulation of toll-like receptor 3 signaling pathway (GO:0034140)	3	0	.01	-	 < 0.01	1.00E00	1	.02	+	48.33	2.71E-02
negative regulation of antigen processing and presentation of peptide or polysaccharide antigen via MHC class II (GO:0002581)	3	0	.01	-	 < 0.01	1.00E00	1	.02	+	48.33	2.71E-02
regulation of antigen processing and presentation of peptide or polysaccharide antigen via MHC class II (GO:0002580)	5	0	.02	-	 < 0.01	1.00E00	1	.03	+	29.00	4.04E-02
protein deubiquitination involved in ubiquitin-dependent protein catabolic process (GO:0071947)	8	0	.03	-	 < 0.01	1.00E00	2	.06	+	36.25	2.02E-03
glycolipid catabolic process (GO:0019377)	16	0	.06	-	 < 0.01	1.00E00	2	.11	+	18.12	6.63E-03
galactolipid catabolic process (GO:0019376)	3	0	.01	-	 < 0.01	1.00E00	1	.02	+	48.33	2.71E-02
amino disaccharide catabolic process (GO:0052782)	4	0	.02	-	 < 0.01	1.00E00	1	.03	+	36.25	3.38E-02
negative regulation of metanephric nephron tubule epithelial cell differentiation (GO:0072308)	1	0	.00	-	 < 0.01	1.00E00	1	.01	+	 > 100	1.37E-02
response to testosterone (GO:0033574)	41	0	.16	-	 < 0.01	1.00E00	2	.28	+	7.07	3.50E-02
negative regulation of extrinsic apoptotic signaling pathway (GO:2001237)	98	0	.38	-	 < 0.01	1.00E00	3	.68	+	4.44	3.22E-02
negative regulation of endothelial cell proliferation (GO:0001937)	43	0	.16	-	 < 0.01	1.00E00	2	.30	+	6.74	3.81E-02
B-1 B cell homeostasis (GO:0001922)	4	0	.02	-	 < 0.01	1.00E00	1	.03	+	36.25	3.38E-02
negative regulation of respiratory burst (GO:0060268)	6	0	.02	-	 < 0.01	1.00E00	1	.04	+	24.17	4.70E-02
negative regulation of respiratory burst involved in inflammatory response (GO:0060266)	5	0	.02	-	 < 0.01	1.00E00	1	.03	+	29.00	4.04E-02
positive regulation of respiratory burst involved in inflammatory response (GO:0060265)	2	0	.01	-	 < 0.01	1.00E00	1	.01	+	72.50	2.04E-02
nicotinamide metabolic process (GO:0006769)	1	0	.00	-	 < 0.01	1.00E00	1	.01	+	 > 100	1.37E-02
one-carbon metabolic process (GO:0006730)	39	0	.15	-	 < 0.01	1.00E00	2	.27	+	7.44	3.21E-02
negative regulation of nephron tubule epithelial cell differentiation (GO:0072183)	2	0	.01	-	 < 0.01	1.00E00	1	.01	+	72.50	2.04E-02
negative regulation of epithelial cell differentiation involved in kidney development (GO:2000697)	4	0	.02	-	 < 0.01	1.00E00	1	.03	+	36.25	3.38E-02
metanephric mesenchymal cell differentiation (GO:0072162)	5	0	.02	-	 < 0.01	1.00E00	1	.03	+	29.00	4.04E-02
male mating behavior (GO:0060179)	5	0	.02	-	 < 0.01	1.00E00	1	.03	+	29.00	4.04E-02
metanephric mesenchymal cell proliferation involved in metanephros development (GO:0072136)	3	0	.01	-	 < 0.01	1.00E00	1	.02	+	48.33	2.71E-02
kidney mesenchymal cell proliferation (GO:0072135)	3	0	.01	-	 < 0.01	1.00E00	1	.02	+	48.33	2.71E-02
negative regulation of receptor catabolic process (GO:2000645)	3	0	.01	-	 < 0.01	1.00E00	1	.02	+	48.33	2.71E-02
glycolipid metabolic process (GO:0006664)	107	0	.41	-	 < 0.01	1.00E00	4	.74	+	5.42	7.18E-03
striated muscle myosin thick filament assembly (GO:0071688)	3	0	.01	-	 < 0.01	1.00E00	1	.02	+	48.33	2.71E-02
protein processing involved in protein targeting to mitochondrion (GO:0006627)	5	0	.02	-	 < 0.01	1.00E00	1	.03	+	29.00	4.04E-02
endothelial cell activation involved in immune response (GO:0002264)	1	0	.00	-	 < 0.01	1.00E00	1	.01	+	 > 100	1.37E-02
positive regulation of MHC class I biosynthetic process (GO:0045345)	6	0	.02	-	 < 0.01	1.00E00	1	.04	+	24.17	4.70E-02
carnitine biosynthetic process (GO:0045329)	4	0	.02	-	 < 0.01	1.00E00	1	.03	+	36.25	3.38E-02
negative regulation of endothelial cell chemotaxis (GO:2001027)	4	0	.02	-	 < 0.01	1.00E00	1	.03	+	36.25	3.38E-02
metaphase/anaphase transition of mitotic cell cycle (GO:0007091)	6	0	.02	-	 < 0.01	1.00E00	1	.04	+	24.17	4.70E-02
peroxisome organization (GO:0007031)	35	0	.13	-	 < 0.01	1.00E00	2	.24	+	8.29	2.65E-02
amino-acid betaine biosynthetic process (GO:0006578)	6	0	.02	-	 < 0.01	1.00E00	1	.04	+	24.17	4.70E-02
L-serine biosynthetic process (GO:0006564)	6	0	.02	-	 < 0.01	1.00E00	1	.04	+	24.17	4.70E-02
negative regulation of low-density lipoprotein particle receptor catabolic process (GO:0032804)	2	0	.01	-	 < 0.01	1.00E00	1	.01	+	72.50	2.04E-02
regulation of low-density lipoprotein particle receptor catabolic process (GO:0032803)	6	0	.02	-	 < 0.01	1.00E00	1	.04	+	24.17	4.70E-02
S-adenosylmethionine biosynthetic process (GO:0006556)	4	0	.02	-	 < 0.01	1.00E00	1	.03	+	36.25	3.38E-02
glutamine biosynthetic process (GO:0006542)	2	0	.01	-	 < 0.01	1.00E00	1	.01	+	72.50	2.04E-02
positive regulation of ATPase-coupled calcium transmembrane transporter activity (GO:1901896)	6	0	.02	-	 < 0.01	1.00E00	1	.04	+	24.17	4.70E-02
metaphase/anaphase transition of cell cycle (GO:0044784)	6	0	.02	-	 < 0.01	1.00E00	1	.04	+	24.17	4.70E-02
positive regulation of protein kinase B signaling (GO:0051897)	113	0	.43	-	 < 0.01	1.00E00	4	.78	+	5.13	8.61E-03
regulation of protein kinase B signaling (GO:0051896)	167	0	.64	-	 < 0.01	1.00E00	4	1.15	+	3.47	3.02E-02
reduction of food intake in response to dietary excess (GO:0002023)	6	0	.02	-	 < 0.01	1.00E00	1	.04	+	24.17	4.70E-02
error-free translesion synthesis (GO:0070987)	5	0	.02	-	 < 0.01	1.00E00	1	.03	+	29.00	4.04E-02
regulation of endothelial cell apoptotic process (GO:2000351)	49	0	.19	-	 < 0.01	1.00E00	2	.34	+	5.92	4.78E-02
negative regulation of CD40 signaling pathway (GO:2000349)	2	0	.01	-	 < 0.01	1.00E00	1	.01	+	72.50	2.04E-02
regulation of CD40 signaling pathway (GO:2000348)	6	0	.02	-	 < 0.01	1.00E00	1	.04	+	24.17	4.70E-02
termination of mitochondrial transcription (GO:0006393)	2	0	.01	-	 < 0.01	1.00E00	1	.01	+	72.50	2.04E-02
medium-chain fatty acid biosynthetic process (GO:0051792)	6	0	.02	-	 < 0.01	1.00E00	1	.04	+	24.17	4.70E-02
short-chain fatty acid biosynthetic process (GO:0051790)	3	0	.01	-	 < 0.01	1.00E00	1	.02	+	48.33	2.71E-02
double-strand break repair via nonhomologous end joining (GO:0006303)	44	0	.17	-	 < 0.01	1.00E00	2	.30	+	6.59	3.96E-02
glutathione derivative biosynthetic process (GO:1901687)	4	0	.02	-	 < 0.01	1.00E00	1	.03	+	36.25	3.38E-02
glutathione derivative metabolic process (GO:1901685)	4	0	.02	-	 < 0.01	1.00E00	1	.03	+	36.25	3.38E-02
double-strand break repair via single-strand annealing (GO:0045002)	6	0	.02	-	 < 0.01	1.00E00	1	.04	+	24.17	4.70E-02
negative regulation of long-chain fatty acid import into cell (GO:0140213)	4	0	.02	-	 < 0.01	1.00E00	1	.03	+	36.25	3.38E-02
mitochondrial RNA metabolic process (GO:0000959)	45	0	.17	-	 < 0.01	1.00E00	2	.31	+	6.44	4.12E-02
negative regulation of translation in response to endoplasmic reticulum stress (GO:1902010)	2	0	.01	-	 < 0.01	1.00E00	1	.01	+	72.50	2.04E-02
maintenance of mitochondrion location (GO:0051659)	2	0	.01	-	 < 0.01	1.00E00	1	.01	+	72.50	2.04E-02
response to muramyl dipeptide (GO:0032495)	20	0	.08	-	 < 0.01	1.00E00	2	.14	+	14.50	9.84E-03
regulation of gluconeogenesis (GO:0006111)	50	0	.19	-	 < 0.01	1.00E00	2	.34	+	5.80	4.94E-02
negative regulation of osteoclast proliferation (GO:0090291)	2	0	.01	-	 < 0.01	1.00E00	1	.01	+	72.50	2.04E-02
regulation of osteoclast proliferation (GO:0090289)	6	0	.02	-	 < 0.01	1.00E00	1	.04	+	24.17	4.70E-02
sarcomerogenesis (GO:0048769)	3	0	.01	-	 < 0.01	1.00E00	1	.02	+	48.33	2.71E-02
positive regulation of intracellular cholesterol transport (GO:0032385)	3	0	.01	-	 < 0.01	1.00E00	1	.02	+	48.33	2.71E-02
positive regulation of intracellular sterol transport (GO:0032382)	3	0	.01	-	 < 0.01	1.00E00	1	.02	+	48.33	2.71E-02
positive regulation of intracellular lipid transport (GO:0032379)	4	0	.02	-	 < 0.01	1.00E00	1	.03	+	36.25	3.38E-02
glycolytic process (GO:0006096)	45	0	.17	-	 < 0.01	1.00E00	2	.31	+	6.44	4.12E-02
DNA double-strand break processing (GO:0000729)	19	0	.07	-	 < 0.01	1.00E00	2	.13	+	15.26	8.98E-03
regulation of atrial cardiac muscle cell action potential (GO:0098910)	4	0	.02	-	 < 0.01	1.00E00	1	.03	+	36.25	3.38E-02
negative regulation of branching involved in ureteric bud morphogenesis (GO:0090191)	2	0	.01	-	 < 0.01	1.00E00	1	.01	+	72.50	2.04E-02
regulation of AV node cell action potential (GO:0098904)	3	0	.01	-	 < 0.01	1.00E00	1	.02	+	48.33	2.71E-02
negative regulation of kidney development (GO:0090185)	5	0	.02	-	 < 0.01	1.00E00	1	.03	+	29.00	4.04E-02
regulation of kidney development (GO:0090183)	36	0	.14	-	 < 0.01	1.00E00	2	.25	+	8.06	2.79E-02
regulation of smooth muscle cell proliferation (GO:0048660)	142	0	.54	-	 < 0.01	1.00E00	4	.98	+	4.08	1.81E-02
protein K63-linked deubiquitination (GO:0070536)	34	0	.13	-	 < 0.01	1.00E00	2	.23	+	8.53	2.52E-02
positive regulation of plasma membrane repair (GO:1905686)	4	0	.02	-	 < 0.01	1.00E00	1	.03	+	36.25	3.38E-02
negative regulation of cyclic-nucleotide phosphodiesterase activity (GO:0051344)	6	0	.02	-	 < 0.01	1.00E00	1	.04	+	24.17	4.70E-02
positive regulation of RNA polymerase II regulatory region sequence-specific DNA binding (GO:1905636)	5	0	.02	-	 < 0.01	1.00E00	1	.03	+	29.00	4.04E-02
positive regulation of receptor-mediated endocytosis involved in cholesterol transport (GO:1905602)	2	0	.01	-	 < 0.01	1.00E00	1	.01	+	72.50	2.04E-02
regulation of receptor-mediated endocytosis involved in cholesterol transport (GO:1905600)	4	0	.02	-	 < 0.01	1.00E00	1	.03	+	36.25	3.38E-02
abscission (GO:0009838)	6	0	.02	-	 < 0.01	1.00E00	1	.04	+	24.17	4.70E-02
negative regulation of monocyte chemotaxis (GO:0090027)	6	0	.02	-	 < 0.01	1.00E00	1	.04	+	24.17	4.70E-02
negative regulation of nucleotide-binding oligomerization domain containing 2 signaling pathway (GO:0070433)	4	0	.02	-	 < 0.01	1.00E00	1	.03	+	36.25	3.38E-02
negative regulation of nucleotide-binding oligomerization domain containing 1 signaling pathway (GO:0070429)	1	0	.00	-	 < 0.01	1.00E00	1	.01	+	 > 100	1.37E-02
regulation of nucleotide-binding oligomerization domain containing 1 signaling pathway (GO:0070428)	4	0	.02	-	 < 0.01	1.00E00	1	.03	+	36.25	3.38E-02
negative regulation of nucleotide-binding oligomerization domain containing signaling pathway (GO:0070425)	4	0	.02	-	 < 0.01	1.00E00	1	.03	+	36.25	3.38E-02
regulation of nucleotide-binding oligomerization domain containing signaling pathway (GO:0070424)	14	0	.05	-	 < 0.01	1.00E00	2	.10	+	20.71	5.25E-03
negative regulation of coagulation (GO:0050819)	49	0	.19	-	 < 0.01	1.00E00	2	.34	+	5.92	4.78E-02
regulation of coagulation (GO:0050818)	74	0	.28	-	 < 0.01	1.00E00	3	.51	+	5.88	1.59E-02
positive regulation of low-density lipoprotein particle receptor binding (GO:1905597)	1	0	.00	-	 < 0.01	1.00E00	1	.01	+	 > 100	1.37E-02
regulation of low-density lipoprotein particle receptor binding (GO:1905595)	2	0	.01	-	 < 0.01	1.00E00	1	.01	+	72.50	2.04E-02
positive regulation of low-density lipoprotein particle clearance (GO:1905581)	3	0	.01	-	 < 0.01	1.00E00	1	.02	+	48.33	2.71E-02
protein K33-linked deubiquitination (GO:1990168)	4	0	.02	-	 < 0.01	1.00E00	1	.03	+	36.25	3.38E-02
protein tetramerization (GO:0051262)	93	0	.36	-	 < 0.01	1.00E00	3	.64	+	4.68	2.83E-02
positive regulation of the force of heart contraction (GO:0098735)	5	0	.02	-	 < 0.01	1.00E00	1	.03	+	29.00	4.04E-02
negative regulation of translation in response to stress (GO:0032055)	5	0	.02	-	 < 0.01	1.00E00	1	.03	+	29.00	4.04E-02
regulation of TOR signaling (GO:0032006)	116	0	.45	-	 < 0.01	1.00E00	3	.80	+	3.75	4.85E-02
renal absorption (GO:0070293)	29	0	.11	-	 < 0.01	1.00E00	2	.20	+	10.00	1.90E-02
regulation of defense response to virus by host (GO:0050691)	47	0	.18	-	 < 0.01	1.00E00	2	.32	+	6.17	4.44E-02
negative regulation of plasma membrane bounded cell projection assembly (GO:0120033)	35	0	.13	-	 < 0.01	1.00E00	2	.24	+	8.29	2.65E-02
positive regulation of endothelial cell-matrix adhesion via fibronectin (GO:1904906)	5	0	.02	-	 < 0.01	1.00E00	1	.03	+	29.00	4.04E-02
regulation of endothelial cell-matrix adhesion via fibronectin (GO:1904904)	6	0	.02	-	 < 0.01	1.00E00	1	.04	+	24.17	4.70E-02
cell-abiotic substrate adhesion (GO:0036164)	1	0	.00	-	 < 0.01	1.00E00	1	.01	+	 > 100	1.37E-02
vitamin B6 biosynthetic process (GO:0042819)	3	0	.01	-	 < 0.01	1.00E00	1	.02	+	48.33	2.71E-02
vitamin B6 metabolic process (GO:0042816)	5	0	.02	-	 < 0.01	1.00E00	1	.03	+	29.00	4.04E-02
positive regulation of metallopeptidase activity (GO:1905050)	6	0	.02	-	 < 0.01	1.00E00	1	.04	+	24.17	4.70E-02
protein K29-linked deubiquitination (GO:0035523)	5	0	.02	-	 < 0.01	1.00E00	1	.03	+	29.00	4.04E-02
positive regulation of TORC2 signaling (GO:1904515)	5	0	.02	-	 < 0.01	1.00E00	1	.03	+	29.00	4.04E-02
positive regulation of lipophagy (GO:1904504)	5	0	.02	-	 < 0.01	1.00E00	1	.03	+	29.00	4.04E-02
regulation of lipophagy (GO:1904502)	5	0	.02	-	 < 0.01	1.00E00	1	.03	+	29.00	4.04E-02
deadenylation-independent decapping of nuclear-transcribed mRNA (GO:0031087)	5	0	.02	-	 < 0.01	1.00E00	1	.03	+	29.00	4.04E-02
myosin filament assembly (GO:0031034)	4	0	.02	-	 < 0.01	1.00E00	1	.03	+	36.25	3.38E-02
myosin filament organization (GO:0031033)	5	0	.02	-	 < 0.01	1.00E00	1	.03	+	29.00	4.04E-02
double-strand break repair via alternative nonhomologous end joining (GO:0097681)	5	0	.02	-	 < 0.01	1.00E00	1	.03	+	29.00	4.04E-02
double-strand break repair via classical nonhomologous end joining (GO:0097680)	6	0	.02	-	 < 0.01	1.00E00	1	.04	+	24.17	4.70E-02
positive regulation of lipoprotein particle clearance (GO:0010986)	6	0	.02	-	 < 0.01	1.00E00	1	.04	+	24.17	4.70E-02
pyridoxine biosynthetic process (GO:0008615)	2	0	.01	-	 < 0.01	1.00E00	1	.01	+	72.50	2.04E-02
pyridoxine metabolic process (GO:0008614)	2	0	.01	-	 < 0.01	1.00E00	1	.01	+	72.50	2.04E-02
regulation of TORC2 signaling (GO:1903939)	6	0	.02	-	 < 0.01	1.00E00	1	.04	+	24.17	4.70E-02
Purkinje myocyte to ventricular cardiac muscle cell communication (GO:0086068)	6	0	.02	-	 < 0.01	1.00E00	1	.04	+	24.17	4.70E-02
Purkinje myocyte to ventricular cardiac muscle cell signaling (GO:0086029)	5	0	.02	-	 < 0.01	1.00E00	1	.03	+	29.00	4.04E-02
viral capsid secondary envelopment (GO:0046745)	1	0	.00	-	 < 0.01	1.00E00	1	.01	+	 > 100	1.37E-02
negative regulation by virus of viral protein levels in host cell (GO:0046725)	2	0	.01	-	 < 0.01	1.00E00	1	.01	+	72.50	2.04E-02
fructosamine catabolic process (GO:0030392)	1	0	.00	-	 < 0.01	1.00E00	1	.01	+	 > 100	1.37E-02
fructosamine metabolic process (GO:0030389)	2	0	.01	-	 < 0.01	1.00E00	1	.01	+	72.50	2.04E-02
DNA double-strand break processing involved in repair via single-strand annealing (GO:0010792)	6	0	.02	-	 < 0.01	1.00E00	1	.04	+	24.17	4.70E-02
positive regulation of serine C-palmitoyltransferase activity (GO:1904222)	2	0	.01	-	 < 0.01	1.00E00	1	.01	+	72.50	2.04E-02
regulation of serine C-palmitoyltransferase activity (GO:1904220)	4	0	.02	-	 < 0.01	1.00E00	1	.03	+	36.25	3.38E-02
positive regulation of CDP-diacylglycerol-serine O-phosphatidyltransferase activity (GO:1904219)	2	0	.01	-	 < 0.01	1.00E00	1	.01	+	72.50	2.04E-02
regulation of CDP-diacylglycerol-serine O-phosphatidyltransferase activity (GO:1904217)	2	0	.01	-	 < 0.01	1.00E00	1	.01	+	72.50	2.04E-02
