




Analysis Type:	PANTHER Overrepresentation Test (Released 20230705)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.7942786 Released 2023-05-10
Analyzed List:	go-genelist-py-5.csv (Homo sapiens)go-genelist-r.csv (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	NONE
GO biological process complete	Homo sapiens - REFLIST (20589)	go-genelist-py-5.csv (113)	go-genelist-py-5.csv (expected)	go-genelist-py-5.csv (over/under)	go-genelist-py-5.csv (fold Enrichment)	go-genelist-py-5.csv (raw P-value)	go-genelist-r.csv (142)	go-genelist-r.csv (expected)	go-genelist-r.csv (over/under)	go-genelist-r.csv (fold Enrichment)	go-genelist-r.csv (raw P-value)
positive regulation of protein metabolic process (GO:0051247)	1425	14	7.82	+	1.79	3.78E-02	18	9.83	+	1.83	1.22E-02
response to extracellular stimulus (GO:0009991)	509	5	2.79	+	1.79	2.08E-01	13	3.51	+	3.70	6.37E-05
regulation of peptidase activity (GO:0052547)	408	4	2.24	+	1.79	2.91E-01	7	2.81	+	2.49	2.44E-02
negative regulation of angiogenesis (GO:0016525)	102	1	.56	+	1.79	4.32E-01	3	.70	+	4.26	3.56E-02
regulation of glucose metabolic process (GO:0010906)	102	1	.56	+	1.79	4.32E-01	3	.70	+	4.26	3.56E-02
cellular nitrogen compound biosynthetic process (GO:0044271)	1633	16	8.96	+	1.79	2.20E-02	22	11.26	+	1.95	2.63E-03
negative regulation of response to stimulus (GO:0048585)	1637	16	8.98	+	1.78	2.23E-02	18	11.29	+	1.59	4.35E-02
negative regulation of blood vessel morphogenesis (GO:2000181)	103	1	.57	+	1.77	4.35E-01	3	.71	+	4.22	3.64E-02
regulation of protein modification process (GO:0031399)	1443	14	7.92	+	1.77	3.92E-02	18	9.95	+	1.81	1.32E-02
organic cyclic compound biosynthetic process (GO:1901362)	1239	12	6.80	+	1.76	4.74E-02	14	8.55	+	1.64	7.34E-02
negative regulation of vasculature development (GO:1901343)	104	1	.57	+	1.75	4.38E-01	3	.72	+	4.18	3.73E-02
regulation of phosphorylation (GO:0042325)	1170	11	6.42	+	1.71	9.80E-02	14	8.07	+	1.73	4.34E-02
negative regulation of hydrolase activity (GO:0051346)	320	3	1.76	+	1.71	2.59E-01	6	2.21	+	2.72	2.50E-02
phosphate-containing compound metabolic process (GO:0006796)	1817	17	9.97	+	1.70	2.91E-02	16	12.53	+	1.28	2.98E-01
cellular catabolic process (GO:0044248)	1076	10	5.91	+	1.69	8.93E-02	14	7.42	+	1.89	2.16E-02
phosphorus metabolic process (GO:0006793)	1843	17	10.12	+	1.68	3.10E-02	17	12.71	+	1.34	2.36E-01
response to organic cyclic compound (GO:0014070)	871	8	4.78	+	1.67	1.52E-01	14	6.01	+	2.33	3.06E-03
positive regulation of response to stimulus (GO:0048584)	2203	20	12.09	+	1.65	2.18E-02	22	15.19	+	1.45	7.57E-02
catabolic process (GO:0009056)	1983	18	10.88	+	1.65	3.57E-02	26	13.68	+	1.90	1.46E-03
carbohydrate metabolic process (GO:0005975)	449	4	2.46	+	1.62	3.17E-01	7	3.10	+	2.26	3.78E-02
multicellular organism development (GO:0007275)	3966	35	21.77	+	1.61	2.70E-03	36	27.35	+	1.32	7.00E-02
organic substance catabolic process (GO:1901575)	1709	15	9.38	+	1.60	6.08E-02	20	11.79	+	1.70	2.08E-02
cellular response to nutrient levels (GO:0031669)	229	2	1.26	+	1.59	3.60E-01	8	1.58	+	5.07	2.34E-04
response to chemical (GO:0042221)	3899	34	21.40	+	1.59	5.24E-03	43	26.89	+	1.60	1.18E-03
cellular component assembly (GO:0022607)	2418	21	13.27	+	1.58	3.86E-02	20	16.68	+	1.20	3.61E-01
organonitrogen compound metabolic process (GO:1901564)	4857	42	26.66	+	1.58	1.20E-03	51	33.50	+	1.52	1.00E-03
positive regulation of protein modification process (GO:0031401)	935	8	5.13	+	1.56	1.76E-01	12	6.45	+	1.86	3.96E-02
multicellular organismal process (GO:0032501)	6713	57	36.84	+	1.55	1.11E-04	56	46.30	+	1.21	8.82E-02
anatomical structure morphogenesis (GO:0009653)	2244	19	12.32	+	1.54	4.95E-02	20	15.48	+	1.29	2.24E-01
cell differentiation (GO:0030154)	3590	30	19.70	+	1.52	1.74E-02	31	24.76	+	1.25	1.82E-01
response to nutrient levels (GO:0031667)	479	4	2.63	+	1.52	3.40E-01	12	3.30	+	3.63	1.47E-04
cellular developmental process (GO:0048869)	3614	30	19.83	+	1.51	1.78E-02	31	24.93	+	1.24	1.84E-01
anatomical structure development (GO:0048856)	5201	43	28.54	+	1.51	3.16E-03	47	35.87	+	1.31	4.14E-02
cellular metabolic process (GO:0044237)	5828	48	31.99	+	1.50	1.55E-03	67	40.20	+	1.67	2.21E-06
animal organ development (GO:0048513)	2925	24	16.05	+	1.50	4.18E-02	26	20.17	+	1.29	1.83E-01
organelle organization (GO:0006996)	3060	25	16.79	+	1.49	4.54E-02	27	21.10	+	1.28	1.92E-01
system development (GO:0048731)	3553	29	19.50	+	1.49	2.41E-02	30	24.50	+	1.22	2.21E-01
regulation of epithelial cell proliferation (GO:0050678)	372	3	2.04	+	1.47	4.62E-01	9	2.57	+	3.51	1.27E-03
negative regulation of multicellular organismal process (GO:0051241)	1125	9	6.17	+	1.46	2.16E-01	17	7.76	+	2.19	2.43E-03
regulation of response to stimulus (GO:0048583)	3960	31	21.73	+	1.43	3.14E-02	34	27.31	+	1.24	1.65E-01
regulation of molecular function (GO:0065009)	2569	20	14.10	+	1.42	1.14E-01	30	17.72	+	1.69	4.66E-03
protein complex oligomerization (GO:0051259)	257	2	1.41	+	1.42	6.54E-01	6	1.77	+	3.39	9.61E-03
homeostatic process (GO:0042592)	1415	11	7.77	+	1.42	2.59E-01	17	9.76	+	1.74	2.84E-02
response to stimulus (GO:0050896)	8243	64	45.24	+	1.41	4.78E-04	74	56.85	+	1.30	4.42E-03
regulation of response to stress (GO:0080134)	1418	11	7.78	+	1.41	2.59E-01	17	9.78	+	1.74	2.86E-02
cellular response to extracellular stimulus (GO:0031668)	259	2	1.42	+	1.41	6.55E-01	9	1.79	+	5.04	9.86E-05
negative regulation of biological process (GO:0048519)	5320	41	29.20	+	1.40	1.73E-02	50	36.69	+	1.36	1.58E-02
nitrogen compound metabolic process (GO:0006807)	6614	50	36.30	+	1.38	8.34E-03	67	45.62	+	1.47	2.02E-04
positive regulation of biological process (GO:0048518)	6219	47	34.13	+	1.38	1.02E-02	55	42.89	+	1.28	3.45E-02
metabolic process (GO:0008152)	8086	61	44.38	+	1.37	1.88E-03	85	55.77	+	1.52	1.00E-06
developmental process (GO:0032502)	5702	43	31.29	+	1.37	1.99E-02	49	39.33	+	1.25	7.42E-02
positive regulation of cellular process (GO:0048522)	5511	41	30.25	+	1.36	2.54E-02	51	38.01	+	1.34	1.73E-02
primary metabolic process (GO:0044238)	7165	53	39.32	+	1.35	9.73E-03	72	49.42	+	1.46	1.28E-04
regulation of primary metabolic process (GO:0080090)	5825	43	31.97	+	1.35	2.74E-02	52	40.17	+	1.29	3.16E-02
organic substance metabolic process (GO:0071704)	7653	56	42.00	+	1.33	8.20E-03	78	52.78	+	1.48	2.41E-05
regulation of macromolecule metabolic process (GO:0060255)	6188	45	33.96	+	1.33	3.03E-02	54	42.68	+	1.27	4.33E-02
cellular response to stimulus (GO:0051716)	6472	47	35.52	+	1.32	2.51E-02	56	44.64	+	1.25	4.59E-02
regulation of nitrogen compound metabolic process (GO:0051171)	5646	41	30.99	+	1.32	4.40E-02	51	38.94	+	1.31	2.96E-02
regulation of cell development (GO:0060284)	829	6	4.55	+	1.32	4.66E-01	13	5.72	+	2.27	7.97E-03
response to glucose (GO:0009749)	139	1	.76	+	1.31	5.36E-01	5	.96	+	5.22	3.16E-03
regulation of metabolic process (GO:0019222)	6719	48	36.88	+	1.30	3.41E-02	59	46.34	+	1.27	3.08E-02
negative regulation of epithelial cell proliferation (GO:0050680)	140	1	.77	+	1.30	5.39E-01	4	.97	+	4.14	1.73E-02
regulation of multicellular organismal development (GO:2000026)	1401	10	7.69	+	1.30	3.50E-01	17	9.66	+	1.76	2.76E-02
positive regulation of macromolecule metabolic process (GO:0010604)	3514	25	19.29	+	1.30	1.67E-01	34	24.24	+	1.40	3.37E-02
negative regulation of cellular process (GO:0048523)	4705	33	25.82	+	1.28	1.16E-01	44	32.45	+	1.36	2.70E-02
response to hexose (GO:0009746)	144	1	.79	+	1.27	5.49E-01	5	.99	+	5.03	3.65E-03
regulation of vasculature development (GO:1901342)	291	2	1.60	+	1.25	6.76E-01	6	2.01	+	2.99	1.67E-02
cellular process (GO:0009987)	14672	100	80.53	+	1.24	1.54E-05	123	101.19	+	1.22	2.26E-05
regulation of multicellular organismal process (GO:0051239)	2983	20	16.37	+	1.22	3.47E-01	32	20.57	+	1.56	1.14E-02
regulation of neuron projection development (GO:0010975)	450	3	2.47	+	1.21	7.40E-01	7	3.10	+	2.26	3.81E-02
response to monosaccharide (GO:0034284)	152	1	.83	+	1.20	5.69E-01	5	1.05	+	4.77	4.56E-03
regulation of biological quality (GO:0065008)	2934	19	16.10	+	1.18	4.19E-01	30	20.24	+	1.48	2.93E-02
regulation of growth (GO:0040008)	624	4	3.42	+	1.17	5.88E-01	9	4.30	+	2.09	4.24E-02
biological regulation (GO:0065007)	12228	78	67.11	+	1.16	4.32E-02	95	84.34	+	1.13	7.20E-02
positive regulation of cell population proliferation (GO:0008284)	950	6	5.21	+	1.15	6.51E-01	12	6.55	+	1.83	4.19E-02
cell adhesion (GO:0007155)	967	6	5.31	+	1.13	6.56E-01	12	6.67	+	1.80	4.50E-02
cellular response to external stimulus (GO:0071496)	328	2	1.80	+	1.11	7.02E-01	9	2.26	+	3.98	5.36E-04
biological_process (GO:0008150)	17812	108	97.76	+	1.10	3.22E-03	135	122.85	+	1.10	1.77E-03
regulation of cell population proliferation (GO:0042127)	1674	10	9.19	+	1.09	7.30E-01	21	11.55	+	1.82	8.00E-03
hemopoiesis (GO:0030097)	685	4	3.76	+	1.06	7.91E-01	11	4.72	+	2.33	8.49E-03
cellular response to starvation (GO:0009267)	173	1	.95	+	1.05	6.16E-01	7	1.19	+	5.87	2.46E-04
epithelial cell proliferation (GO:0050673)	174	1	.95	+	1.05	6.18E-01	4	1.20	+	3.33	3.42E-02
cellular response to tumor necrosis factor (GO:0071356)	179	1	.98	+	1.02	6.28E-01	4	1.23	+	3.24	3.73E-02
response to carbohydrate (GO:0009743)	180	1	.99	+	1.01	1.00E00	5	1.24	+	4.03	8.99E-03
cell-substrate adhesion (GO:0031589)	185	1	1.02	-	.98	1.00E00	4	1.28	+	3.13	4.12E-02
monosaccharide metabolic process (GO:0005996)	192	1	1.05	-	.95	1.00E00	4	1.32	+	3.02	4.60E-02
negative regulation of neuron death (GO:1901215)	195	1	1.07	-	.93	1.00E00	4	1.34	+	2.97	4.82E-02
leukocyte differentiation (GO:0002521)	424	2	2.33	-	.86	1.00E00	7	2.92	+	2.39	2.91E-02
response to starvation (GO:0042594)	213	1	1.17	-	.86	1.00E00	7	1.47	+	4.77	8.16E-04
regulation of plasma membrane bounded cell projection organization (GO:0120035)	643	3	3.53	-	.85	1.00E00	9	4.43	+	2.03	4.62E-02
regulation of cell projection organization (GO:0031344)	657	3	3.61	-	.83	1.00E00	9	4.53	+	1.99	4.95E-02
negative regulation of cell migration (GO:0030336)	286	1	1.57	-	.64	1.00E00	6	1.97	+	3.04	1.54E-02
negative regulation of cell motility (GO:2000146)	301	1	1.65	-	.61	1.00E00	6	2.08	+	2.89	1.93E-02
negative regulation of locomotion (GO:0040013)	338	1	1.86	-	.54	1.00E00	6	2.33	+	2.57	3.13E-02
Unclassified (UNCLASSIFIED)	2777	5	15.24	-	.33	3.22E-03	7	19.15	-	.37	1.77E-03
negative regulation of dendritic cell antigen processing and presentation (GO:0002605)	4	0	.02	-	 < 0.01	1.00E00	1	.03	+	36.25	3.38E-02
regulation of dendritic cell antigen processing and presentation (GO:0002604)	11	0	.06	-	 < 0.01	1.00E00	2	.08	+	26.36	3.46E-03
negative regulation of growth hormone receptor signaling pathway (GO:0060400)	3	0	.02	-	 < 0.01	1.00E00	1	.02	+	48.33	2.71E-02
negative regulation of antigen processing and presentation of peptide or polysaccharide antigen via MHC class II (GO:0002581)	3	0	.02	-	 < 0.01	1.00E00	1	.02	+	48.33	2.71E-02
regulation of antigen processing and presentation of peptide or polysaccharide antigen via MHC class II (GO:0002580)	5	0	.03	-	 < 0.01	1.00E00	1	.03	+	29.00	4.04E-02
regulation of antigen processing and presentation (GO:0002577)	20	0	.11	-	 < 0.01	1.00E00	2	.14	+	14.50	9.84E-03
positive regulation of myeloid cell differentiation (GO:0045639)	102	0	.56	-	 < 0.01	1.00E00	3	.70	+	4.26	3.56E-02
galactolipid catabolic process (GO:0019376)	3	0	.02	-	 < 0.01	1.00E00	1	.02	+	48.33	2.71E-02
negative regulation of metanephric nephron tubule epithelial cell differentiation (GO:0072308)	1	0	.01	-	 < 0.01	1.00E00	1	.01	+	 > 100	1.37E-02
negative regulation of endothelial cell proliferation (GO:0001937)	43	0	.24	-	 < 0.01	1.00E00	2	.30	+	6.74	3.81E-02
negative regulation of nephron tubule epithelial cell differentiation (GO:0072183)	2	0	.01	-	 < 0.01	1.00E00	1	.01	+	72.50	2.04E-02
negative regulation of epithelial cell differentiation involved in kidney development (GO:2000697)	4	0	.02	-	 < 0.01	1.00E00	1	.03	+	36.25	3.38E-02
metanephric mesenchymal cell differentiation (GO:0072162)	5	0	.03	-	 < 0.01	1.00E00	1	.03	+	29.00	4.04E-02
metanephric mesenchymal cell proliferation involved in metanephros development (GO:0072136)	3	0	.02	-	 < 0.01	1.00E00	1	.02	+	48.33	2.71E-02
kidney mesenchymal cell proliferation (GO:0072135)	3	0	.02	-	 < 0.01	1.00E00	1	.02	+	48.33	2.71E-02
negative regulation of receptor catabolic process (GO:2000645)	3	0	.02	-	 < 0.01	1.00E00	1	.02	+	48.33	2.71E-02
protein processing involved in protein targeting to mitochondrion (GO:0006627)	5	0	.03	-	 < 0.01	1.00E00	1	.03	+	29.00	4.04E-02
positive regulation of MHC class I biosynthetic process (GO:0045345)	6	0	.03	-	 < 0.01	1.00E00	1	.04	+	24.17	4.70E-02
carnitine biosynthetic process (GO:0045329)	4	0	.02	-	 < 0.01	1.00E00	1	.03	+	36.25	3.38E-02
negative regulation of endothelial cell chemotaxis (GO:2001027)	4	0	.02	-	 < 0.01	1.00E00	1	.03	+	36.25	3.38E-02
metaphase/anaphase transition of mitotic cell cycle (GO:0007091)	6	0	.03	-	 < 0.01	1.00E00	1	.04	+	24.17	4.70E-02
amino-acid betaine biosynthetic process (GO:0006578)	6	0	.03	-	 < 0.01	1.00E00	1	.04	+	24.17	4.70E-02
negative regulation of low-density lipoprotein particle receptor catabolic process (GO:0032804)	2	0	.01	-	 < 0.01	1.00E00	1	.01	+	72.50	2.04E-02
regulation of low-density lipoprotein particle receptor catabolic process (GO:0032803)	6	0	.03	-	 < 0.01	1.00E00	1	.04	+	24.17	4.70E-02
S-adenosylmethionine biosynthetic process (GO:0006556)	4	0	.02	-	 < 0.01	1.00E00	1	.03	+	36.25	3.38E-02
zinc ion import across plasma membrane (GO:0071578)	6	0	.03	-	 < 0.01	1.00E00	1	.04	+	24.17	4.70E-02
glutamine biosynthetic process (GO:0006542)	2	0	.01	-	 < 0.01	1.00E00	1	.01	+	72.50	2.04E-02
asparagine biosynthetic process (GO:0006529)	2	0	.01	-	 < 0.01	1.00E00	1	.01	+	72.50	2.04E-02
asparagine metabolic process (GO:0006528)	5	0	.03	-	 < 0.01	1.00E00	1	.03	+	29.00	4.04E-02
positive regulation of ATPase-coupled calcium transmembrane transporter activity (GO:1901896)	6	0	.03	-	 < 0.01	1.00E00	1	.04	+	24.17	4.70E-02
metaphase/anaphase transition of cell cycle (GO:0044784)	6	0	.03	-	 < 0.01	1.00E00	1	.04	+	24.17	4.70E-02
positive regulation of macrophage migration inhibitory factor signaling pathway (GO:2000448)	2	0	.01	-	 < 0.01	1.00E00	1	.01	+	72.50	2.04E-02
regulation of macrophage migration inhibitory factor signaling pathway (GO:2000446)	3	0	.02	-	 < 0.01	1.00E00	1	.02	+	48.33	2.71E-02
positive regulation of protein kinase B signaling (GO:0051897)	113	0	.62	-	 < 0.01	1.00E00	4	.78	+	5.13	8.61E-03
regulation of protein kinase B signaling (GO:0051896)	167	0	.92	-	 < 0.01	1.00E00	4	1.15	+	3.47	3.02E-02
reduction of food intake in response to dietary excess (GO:0002023)	6	0	.03	-	 < 0.01	1.00E00	1	.04	+	24.17	4.70E-02
error-free translesion synthesis (GO:0070987)	5	0	.03	-	 < 0.01	1.00E00	1	.03	+	29.00	4.04E-02
L-asparagine metabolic process (GO:0070982)	2	0	.01	-	 < 0.01	1.00E00	1	.01	+	72.50	2.04E-02
L-asparagine biosynthetic process (GO:0070981)	1	0	.01	-	 < 0.01	1.00E00	1	.01	+	 > 100	1.37E-02
termination of mitochondrial transcription (GO:0006393)	2	0	.01	-	 < 0.01	1.00E00	1	.01	+	72.50	2.04E-02
medium-chain fatty acid biosynthetic process (GO:0051792)	6	0	.03	-	 < 0.01	1.00E00	1	.04	+	24.17	4.70E-02
short-chain fatty acid biosynthetic process (GO:0051790)	3	0	.02	-	 < 0.01	1.00E00	1	.02	+	48.33	2.71E-02
double-strand break repair via nonhomologous end joining (GO:0006303)	44	0	.24	-	 < 0.01	1.00E00	2	.30	+	6.59	3.96E-02
glutathione derivative biosynthetic process (GO:1901687)	4	0	.02	-	 < 0.01	1.00E00	1	.03	+	36.25	3.38E-02
glutathione derivative metabolic process (GO:1901685)	4	0	.02	-	 < 0.01	1.00E00	1	.03	+	36.25	3.38E-02
double-strand break repair via single-strand annealing (GO:0045002)	6	0	.03	-	 < 0.01	1.00E00	1	.04	+	24.17	4.70E-02
negative regulation of long-chain fatty acid import into cell (GO:0140213)	4	0	.02	-	 < 0.01	1.00E00	1	.03	+	36.25	3.38E-02
response to progesterone (GO:0032570)	40	0	.22	-	 < 0.01	1.00E00	2	.28	+	7.25	3.36E-02
positive regulation of extrinsic apoptotic signaling pathway via death domain receptors (GO:1902043)	14	0	.08	-	 < 0.01	1.00E00	2	.10	+	20.71	5.25E-03
negative regulation of translation in response to endoplasmic reticulum stress (GO:1902010)	2	0	.01	-	 < 0.01	1.00E00	1	.01	+	72.50	2.04E-02
cellular response to cobalt ion (GO:0071279)	4	0	.02	-	 < 0.01	1.00E00	1	.03	+	36.25	3.38E-02
maintenance of mitochondrion location (GO:0051659)	2	0	.01	-	 < 0.01	1.00E00	1	.01	+	72.50	2.04E-02
cell-cell adhesion in response to extracellular stimulus (GO:0140039)	2	0	.01	-	 < 0.01	1.00E00	1	.01	+	72.50	2.04E-02
positive regulation of intracellular cholesterol transport (GO:0032385)	3	0	.02	-	 < 0.01	1.00E00	1	.02	+	48.33	2.71E-02
positive regulation of intracellular sterol transport (GO:0032382)	3	0	.02	-	 < 0.01	1.00E00	1	.02	+	48.33	2.71E-02
positive regulation of intracellular lipid transport (GO:0032379)	4	0	.02	-	 < 0.01	1.00E00	1	.03	+	36.25	3.38E-02
glycolytic process (GO:0006096)	45	0	.25	-	 < 0.01	1.00E00	2	.31	+	6.44	4.12E-02
gluconeogenesis (GO:0006094)	49	0	.27	-	 < 0.01	1.00E00	2	.34	+	5.92	4.78E-02
amino sugar metabolic process (GO:0006040)	42	0	.23	-	 < 0.01	1.00E00	2	.29	+	6.90	3.65E-02
DNA double-strand break processing (GO:0000729)	19	0	.10	-	 < 0.01	1.00E00	2	.13	+	15.26	8.98E-03
regulation of atrial cardiac muscle cell action potential (GO:0098910)	4	0	.02	-	 < 0.01	1.00E00	1	.03	+	36.25	3.38E-02
negative regulation of branching involved in ureteric bud morphogenesis (GO:0090191)	2	0	.01	-	 < 0.01	1.00E00	1	.01	+	72.50	2.04E-02
regulation of AV node cell action potential (GO:0098904)	3	0	.02	-	 < 0.01	1.00E00	1	.02	+	48.33	2.71E-02
negative regulation of kidney development (GO:0090185)	5	0	.03	-	 < 0.01	1.00E00	1	.03	+	29.00	4.04E-02
regulation of kidney development (GO:0090183)	36	0	.20	-	 < 0.01	1.00E00	2	.25	+	8.06	2.79E-02
cadmium ion transmembrane transport (GO:0070574)	6	0	.03	-	 < 0.01	1.00E00	1	.04	+	24.17	4.70E-02
dimethylallyl diphosphate metabolic process (GO:0050993)	2	0	.01	-	 < 0.01	1.00E00	1	.01	+	72.50	2.04E-02
dimethylallyl diphosphate biosynthetic process (GO:0050992)	2	0	.01	-	 < 0.01	1.00E00	1	.01	+	72.50	2.04E-02
positive regulation of plasma membrane repair (GO:1905686)	4	0	.02	-	 < 0.01	1.00E00	1	.03	+	36.25	3.38E-02
negative regulation of cyclic-nucleotide phosphodiesterase activity (GO:0051344)	6	0	.03	-	 < 0.01	1.00E00	1	.04	+	24.17	4.70E-02
positive regulation of RNA polymerase II regulatory region sequence-specific DNA binding (GO:1905636)	5	0	.03	-	 < 0.01	1.00E00	1	.03	+	29.00	4.04E-02
positive regulation of receptor-mediated endocytosis involved in cholesterol transport (GO:1905602)	2	0	.01	-	 < 0.01	1.00E00	1	.01	+	72.50	2.04E-02
regulation of receptor-mediated endocytosis involved in cholesterol transport (GO:1905600)	4	0	.02	-	 < 0.01	1.00E00	1	.03	+	36.25	3.38E-02
abscission (GO:0009838)	6	0	.03	-	 < 0.01	1.00E00	1	.04	+	24.17	4.70E-02
regulation of acyl-CoA biosynthetic process (GO:0050812)	5	0	.03	-	 < 0.01	1.00E00	1	.03	+	29.00	4.04E-02
positive regulation of low-density lipoprotein receptor activity (GO:1905599)	5	0	.03	-	 < 0.01	1.00E00	1	.03	+	29.00	4.04E-02
positive regulation of low-density lipoprotein particle receptor binding (GO:1905597)	1	0	.01	-	 < 0.01	1.00E00	1	.01	+	 > 100	1.37E-02
regulation of low-density lipoprotein particle receptor binding (GO:1905595)	2	0	.01	-	 < 0.01	1.00E00	1	.01	+	72.50	2.04E-02
positive regulation of low-density lipoprotein particle clearance (GO:1905581)	3	0	.02	-	 < 0.01	1.00E00	1	.02	+	48.33	2.71E-02
positive regulation of the force of heart contraction (GO:0098735)	5	0	.03	-	 < 0.01	1.00E00	1	.03	+	29.00	4.04E-02
negative regulation of cold-induced thermogenesis (GO:0120163)	47	0	.26	-	 < 0.01	1.00E00	2	.32	+	6.17	4.44E-02
negative regulation of translation in response to stress (GO:0032055)	5	0	.03	-	 < 0.01	1.00E00	1	.03	+	29.00	4.04E-02
negative regulation of plasma membrane bounded cell projection assembly (GO:0120033)	35	0	.19	-	 < 0.01	1.00E00	2	.24	+	8.29	2.65E-02
positive regulation of endothelial cell-matrix adhesion via fibronectin (GO:1904906)	5	0	.03	-	 < 0.01	1.00E00	1	.03	+	29.00	4.04E-02
regulation of endothelial cell-matrix adhesion via fibronectin (GO:1904904)	6	0	.03	-	 < 0.01	1.00E00	1	.04	+	24.17	4.70E-02
cell-abiotic substrate adhesion (GO:0036164)	1	0	.01	-	 < 0.01	1.00E00	1	.01	+	 > 100	1.37E-02
macrophage migration inhibitory factor signaling pathway (GO:0035691)	1	0	.01	-	 < 0.01	1.00E00	1	.01	+	 > 100	1.37E-02
calcium-mediated signaling using intracellular calcium source (GO:0035584)	23	0	.13	-	 < 0.01	1.00E00	2	.16	+	12.61	1.26E-02
positive regulation of metallopeptidase activity (GO:1905050)	6	0	.03	-	 < 0.01	1.00E00	1	.04	+	24.17	4.70E-02
isopentenyl diphosphate biosynthetic process (GO:0009240)	5	0	.03	-	 < 0.01	1.00E00	1	.03	+	29.00	4.04E-02
positive regulation of lipophagy (GO:1904504)	5	0	.03	-	 < 0.01	1.00E00	1	.03	+	29.00	4.04E-02
regulation of lipophagy (GO:1904502)	5	0	.03	-	 < 0.01	1.00E00	1	.03	+	29.00	4.04E-02
manganese ion homeostasis (GO:0055071)	4	0	.02	-	 < 0.01	1.00E00	1	.03	+	36.25	3.38E-02
deadenylation-independent decapping of nuclear-transcribed mRNA (GO:0031087)	5	0	.03	-	 < 0.01	1.00E00	1	.03	+	29.00	4.04E-02
double-strand break repair via alternative nonhomologous end joining (GO:0097681)	5	0	.03	-	 < 0.01	1.00E00	1	.03	+	29.00	4.04E-02
double-strand break repair via classical nonhomologous end joining (GO:0097680)	6	0	.03	-	 < 0.01	1.00E00	1	.04	+	24.17	4.70E-02
positive regulation of lipoprotein particle clearance (GO:0010986)	6	0	.03	-	 < 0.01	1.00E00	1	.04	+	24.17	4.70E-02
Purkinje myocyte to ventricular cardiac muscle cell communication (GO:0086068)	6	0	.03	-	 < 0.01	1.00E00	1	.04	+	24.17	4.70E-02
aspartate family amino acid biosynthetic process (GO:0009067)	21	0	.12	-	 < 0.01	1.00E00	2	.14	+	13.81	1.07E-02
aspartate family amino acid metabolic process (GO:0009066)	48	0	.26	-	 < 0.01	1.00E00	2	.33	+	6.04	4.61E-02
Purkinje myocyte to ventricular cardiac muscle cell signaling (GO:0086029)	5	0	.03	-	 < 0.01	1.00E00	1	.03	+	29.00	4.04E-02
negative regulation of cell-substrate adhesion (GO:0010812)	60	0	.33	-	 < 0.01	1.00E00	3	.41	+	7.25	9.26E-03
cadmium ion transport (GO:0015691)	6	0	.03	-	 < 0.01	1.00E00	1	.04	+	24.17	4.70E-02
viral capsid secondary envelopment (GO:0046745)	1	0	.01	-	 < 0.01	1.00E00	1	.01	+	 > 100	1.37E-02
negative regulation by virus of viral protein levels in host cell (GO:0046725)	2	0	.01	-	 < 0.01	1.00E00	1	.01	+	72.50	2.04E-02
fructosamine catabolic process (GO:0030392)	1	0	.01	-	 < 0.01	1.00E00	1	.01	+	 > 100	1.37E-02
fructosamine metabolic process (GO:0030389)	2	0	.01	-	 < 0.01	1.00E00	1	.01	+	72.50	2.04E-02
DNA double-strand break processing involved in repair via single-strand annealing (GO:0010792)	6	0	.03	-	 < 0.01	1.00E00	1	.04	+	24.17	4.70E-02
positive regulation of serine C-palmitoyltransferase activity (GO:1904222)	2	0	.01	-	 < 0.01	1.00E00	1	.01	+	72.50	2.04E-02
regulation of serine C-palmitoyltransferase activity (GO:1904220)	4	0	.02	-	 < 0.01	1.00E00	1	.03	+	36.25	3.38E-02
positive regulation of CDP-diacylglycerol-serine O-phosphatidyltransferase activity (GO:1904219)	2	0	.01	-	 < 0.01	1.00E00	1	.01	+	72.50	2.04E-02
regulation of CDP-diacylglycerol-serine O-phosphatidyltransferase activity (GO:1904217)	2	0	.01	-	 < 0.01	1.00E00	1	.01	+	72.50	2.04E-02
regulation of fatty acid biosynthetic process (GO:0042304)	45	0	.25	-	 < 0.01	1.00E00	2	.31	+	6.44	4.12E-02
regulation of plasminogen activation (GO:0010755)	18	0	.10	-	 < 0.01	1.00E00	2	.12	+	16.11	8.16E-03
negative regulation of cGMP-mediated signaling (GO:0010754)	6	0	.03	-	 < 0.01	1.00E00	1	.04	+	24.17	4.70E-02
negative regulation of nitric oxide mediated signal transduction (GO:0010751)	3	0	.02	-	 < 0.01	1.00E00	1	.02	+	48.33	2.71E-02
negative regulation of long-chain fatty acid import across plasma membrane (GO:0010748)	4	0	.02	-	 < 0.01	1.00E00	1	.03	+	36.25	3.38E-02
regulation of long-chain fatty acid import across plasma membrane (GO:0010746)	6	0	.03	-	 < 0.01	1.00E00	1	.04	+	24.17	4.70E-02
cardiac neuron differentiation (GO:0060945)	1	0	.01	-	 < 0.01	1.00E00	1	.01	+	 > 100	1.37E-02
negative regulation of epithelial cell migration (GO:0010633)	68	0	.37	-	 < 0.01	1.00E00	3	.47	+	6.40	1.28E-02
negative regulation of transcription by transcription factor localization (GO:0010621)	4	0	.02	-	 < 0.01	1.00E00	1	.03	+	36.25	3.38E-02
